trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
735,False,"{'a': 0.6, 'e': 1.8510805682817346e-06}",20,0,34.49512401315062,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
736,False,"{'a': 0.6, 'e': 1.846053875236295e-06}",25,0,38.668379433447924,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
737,False,"{'a': 0.6, 'e': 1.8410476297432292e-06}",20,15,9.229048213445736,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.6, 'e': 1.8360617210508148e-06}",25,2,35.997963023518665,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.6, 'e': 1.8310960391561578e-06}",25,8,34.090194464140936,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.6, 'e': 1.8261504747991234e-06}",25,11,29.971700505883902,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.6, 'e': 1.8212249194563279e-06}",20,0,34.3119082971632,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
742,False,"{'a': 0.6, 'e': 1.8163192653351836e-06}",30,12,26.539146859738437,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.6, 'e': 1.8114334053680018e-06}",20,9,21.105312594891934,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.6, 'e': 1.806567233206151e-06}",25,13,23.22607290198939,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.6, 'e': 1.8017206432142695e-06}",20,13,15.151356376339375,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.6, 'e': 1.796893530464533e-06}",25,10,29.631158808652813,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
